SHIMPCONTROLS,0,NAME_SUB,ID_SHIMP,CONTROLABLE_SHIMP,CTRLTYPE_SHIMP,VREGLINELINE_SHIMP,REGBRANCH_SHIMP,REGBRANCHTYPE_SHIMP,REGBRANCHDIRECT_SHIMP,REGBRANCHEND_SHIMP,LOCALOVERRIDE_SHIMP,LOWLEVELOVER_SHIMP,HIGHLEVELOVER_SHIMP,ONLEVEL_SHIMP,OFFLEVEL_SHIMP,PHASESENSE_SHIMP,TIMESCHED_SHIMP,TDELAY_SHIMP,CTRLOVERRIDETYPE_SHIMP,OVERRIDESCHED_SHIMP,LOCALPERM_SHIMP,PERMSCHED_SHIMP,PERMCTRLLEVEL1_SHIMP,PERMCTRLLEVEL2_SHIMP,LOWTLEVELOVER_SHIMP,HIGHTLEVELOVER_SHIMP,REGUSEUNREGULATEDNODE_SHIMP,REGTF_SHIMP
SHIMPCONTROLS,1,CATEMU,2135_3697868_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,Bosquemar,2135_3697875_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3697882_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,MAYACA,2135_3697889_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LA CALERA,2135_3697896_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LAS VEGAS,2135_3697903_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,LAS VEGAS,2135_3697910_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,REÑACA,2135_3697917_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,MIRAFLORES,2135_3697924_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,PLAYA ANCHA,2135_3697931_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,REÑACA,2135_3697938_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_3697952_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,VALPARAISO,2135_3697959_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3697973_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_3697980_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
