ID,Subestación de Poder,Alimentador,Zona Mantenimiento,SED,Nombre,Kva Etdtrafo,Clientes,Netbilling,Electrodependientes,Ordenes SAP,Avisos SAP,Solicitudes Daño Individual,Solicitudes SEC SERNAC,Solicitudes DOM,Presentaciones,Interrupciones BT
1,San Felipe,Tocornal,Los Andes,40227,Poblado Santa María,150.00 kVA,205,,1,1,,80,,45,2,3
2,Quintero,Quintero,Costa,20270,OHiggins Barros Luco,300.00 kVA,327,,1,,,211,,80,68,3
3,San Antonio,Pesqueras,San Antonio,50077,Poblacion Brisas del Mar,75.00 kVA,191,,1,1,1,350,,37,34,23
4,El Melón,Nogales,Quillota,30190,P F Vicuña Balmaceda,300.00 kVA,332,,1,2,1,98,,45,3,4
5,La Calera,Hijuelas,Quillota,30181,Pob San Nicolas,150.00 kVA,222,,,4,3,157,,10,7,14
6,San Sebastián,Cartagena,San Antonio,50067,Tarapaca,300.00 kVA,340,,,2,2,104,,19,8,9
7,San Antonio,Pesqueras,San Antonio,51925,SED Los Naranjos Las Parcelas,75.00 kVA,110,,,,,169,,37,12,41
8,Quintero,Quintero,Costa,20256,Eusebio Lillo Argentina,150.00 kVA,252,,,,,143,,46,,8
9,Catemu,Catemu,Los Andes,40945,O'Higgins_Los Héroes,150.00 kVA,218,,,,,41,,14,3,6
10,El Melón,Nogales,Quillota,30640,Pob Los Almendros,300.00 kVA,496,,1,,,66,,14,1,3
11,Peñablanca,Huanhuali,Marga Marga,20507,Santa Margarita Rivadavia,150.00 kVA,217,,,,,345,,337,4,3
12,San Sebastián,Cartagena,San Antonio,50063,AROMOS LAS ROSAS,150.00 kVA,302,,,5,4,101,,19,3,8
13,Catemu,Catemu,Los Andes,40860,Sueño Dorado - Lo Campo,150.00 kVA,166,,,,,27,,13,2,2
14,Las Vegas,Santa Teresa,Los Andes,40386,Las Palmas 5 de Abril,150.00 kVA,314,,1,1,,51,,20,,7
15,Quintero,Quintero,Costa,20279,Riquelme Bourocua,150.00 kVA,275,,1,,,60,,35,2,2
16,Quintero,Loncura,Costa,20252,Chocota 1,150.00 kVA,215,,,,,131,,32,2,7
17,Panquehue,Paiquen,Los Andes,40347,Errazuriz Panquehue,75.00 kVA,134,,,,,36,,15,1,3
18,Mayaca,Prat,Quillota,30905,Instituto D Echeverria,150.00 kVA,278,,,1,1,92,,7,10,5
19,San Sebastián,Cartagena,San Antonio,50062,Bellavista,150.00 kVA,242,,,,,91,,27,4,5
20,Bosquemar,Lilenes,Costa,23071,Oriente Cinco,300.00 kVA,698,,1,,,45,,24,3,4
21,Quintero,Loncura,Costa,20276,Pozos Campiche,150.00 kVA,221,,,,,53,,30,4,3
22,San Rafael,El Almendral,Los Andes,40951,C. CONDELL-BDO. CRUZ,150.00 kVA,271,,1,,,31,,15,6,
23,San Antonio,San Antonio,San Antonio,50076,Soprocal,150.00 kVA,249,,,,,66,,26,4,4
24,La Calera,Artificio,Quillota,30138,Marathon Munich,150.00 kVA,262,,2,,,29,,16,3,2
25,Quintero,Loncura,Costa,20317,El Bosque Los Eucaliptos,150.00 kVA,178,1,,,,81,,23,4,8
26,Quintero,Maitenes,Costa,20251,Condell Rosario,300.00 kVA,359,,,,,94,,31,,6
27,San Antonio,San Antonio,San Antonio,50719,SED ARTURO PRAT RESURECCION,75.00 kVA,73,,,,,154,,23,8,36
28,Panquehue,Panquehue,Los Andes,40349,Heroes de La concepción,150.00 kVA,154,,,,1,18,,7,1,3
29,El Melón,Nogales,Quillota,30191,Vicuña Cortes,150.00 kVA,269,,,4,4,87,,14,3,3
30,La Calera,La Cruz,Quillota,30137,Carrera E Gonzalez,300.00 kVA,438,,,2,2,67,,25,1,6
31,Quintero,Quintero,Costa,21477,Portales Riquelme,75.00 kVA,178,,,1,,199,,38,14,9
32,San Rafael,Chacabuco,Los Andes,40191,San Martin Cruz,45.00 kVA,80,,,,,58,,13,5,7
33,San Rafael,San Esteban,Los Andes,40429,Alessandri Los Olmos,150.00 kVA,193,,,,,91,,11,5,5
34,San Felipe,Putaendo,Los Andes,40622,Pobl. Sta. Rita Juan Rosas,150.00 kVA,305,,,,,39,,16,,1
35,La Calera,Hijuelas,Quillota,30801,Villa Swen Krarup,150.00 kVA,279,,,,,47,,9,,4
36,San Felipe,San Felipe,Los Andes,40828,Circunsvalacion Norte Yungay,300.00 kVA,314,,,,,22,,13,1,1
37,Catemu,Catemu,Los Andes,40539,Poblacion  El Arrayan,150.00 kVA,186,,2,,,17,,9,,5
38,La Calera,Hijuelas,Quillota,30175,Chepica Los Aromos,150.00 kVA,276,,,,,41,,12,,3
39,San Rafael,Los Andes,Los Andes,42157,Loteo Vida Nueva y Juventud,150.00 kVA,198,,,,,23,,9,1,5
40,San Rafael,Chacabuco,Los Andes,40746,Casuto Pobl. Progreso,45.00 kVA,122,,,,,40,,7,1,6
41,Las Vegas,Llay Llay,Los Andes,40889,Latorre I. de Suarez,300.00 kVA,271,,1,,,67,,14,1,4
42,Quintero,Quintero,Costa,20316,Barros Luco Aranguiz Tudela,500.00 kVA,288,,,,,75,,39,,3
43,El Melón,Pataguas,Quillota,30578,La Paz El Rungue,150.00 kVA,396,,,,,52,,11,1,1
44,San Sebastián,Cartagena,San Antonio,50059,Arellano El Ensueño,150.00 kVA,178,,1,1,1,89,,20,1,8
45,Quintero,Loncura,Costa,20288,Bello Horizonte,150.00 kVA,232,,,,,77,,12,2,5
46,Las Vegas,Llay Llay,Los Andes,40393,Pobl. Nueva Esperanza,150.00 kVA,215,,,1,2,44,,8,2,7
47,Quintero,Maitenes,Costa,20289,Brisas del Mar Las Orquideas,150.00 kVA,306,,,1,,58,,30,3,2
48,San Antonio,San Antonio,San Antonio,50103,Prieto Llolleo,75.00 kVA,207,,,,,52,,22,5,2
49,El Melón,Pataguas,Quillota,30195,La Paz Libertad,150.00 kVA,196,,,,,48,,14,2,4
50,Quintero,Maitenes,Costa,20283,Salas Gomez Carreño,150.00 kVA,270,,1,,,53,,30,1,5
51,Catemu,Enami,Los Andes,40709,Villa El Sol,75.00 kVA,155,,,,,47,,10,3,3
52,San Rafael,Centenario,Los Andes,40548,Poblacion El Remanso,150.00 kVA,253,,1,,,17,,10,4,
53,Las Vegas,Santa Teresa,Los Andes,42037,Santa  Adriana_L Valdes 2,75.00 kVA,212,,1,,,85,,23,,3
54,San Antonio,San Antonio,San Antonio,50075,Leon XIII,150.00 kVA,192,,,3,3,83,,15,2,7
55,La Calera,La Cruz,Quillota,30130,Victoria 18 de Septiembre,150.00 kVA,297,,,,,147,,10,6,9
56,San Antonio,Barrancas,San Antonio,50250,Florida Saturno,300.00 kVA,155,,,,,49,,23,3,3
